127.0.0.1 - - [04/Jan/2022:12:10:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:03 +0900] "GET /INIT_PRO HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/ HTTP/1.1" 200 23647
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/css/goods.css;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 6732
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/css/board.css;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/css/btn.css;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/js/common1.js;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/css/ui.css;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/css/ui.jqgrid.css;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 13065
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/css/ui.multiselect.css;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:12 +0900] "GET /INIT_PRO/css/jquery-ui-custom.css;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 33258
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:13 +0900] "POST /INIT_PRO/main.do;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 200 23109
0:0:0:0:0:0:0:1 - - [04/Jan/2022:12:11:13 +0900] "POST /INIT_PRO/mainList.do;jsessionid=A6E889A95B5B7A9571FBCC04B8B0D77A HTTP/1.1" 404 1037
