0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:20 +0900] "GET /INIT_PRO/js/jqgrid/jquery.min.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:21 +0900] "GET /INIT_PRO/addSale.do HTTP/1.1" 200 6793
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:21 +0900] "GET /INIT_PRO/images/egovframework/shop/btn_bg_r.gif HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:21 +0900] "GET /INIT_PRO/js/jqgrid/jquery.min.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:22 +0900] "GET /INIT_PRO/addSale.do HTTP/1.1" 200 6793
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:22 +0900] "GET /INIT_PRO/images/egovframework/shop/btn_bg_r.gif HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:23 +0900] "GET /INIT_PRO/js/jqgrid/jquery.min.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:23 +0900] "GET /INIT_PRO/addSale.do HTTP/1.1" 200 6793
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:23 +0900] "GET /INIT_PRO/images/egovframework/shop/btn_bg_r.gif HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:24 +0900] "GET /INIT_PRO/js/jqgrid/jquery.min.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:26 +0900] "GET /INIT_PRO/addSale.do HTTP/1.1" 200 6794
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:26 +0900] "GET /INIT_PRO/js/jqgrid/jquery.min.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:26 +0900] "GET /INIT_PRO/images/egovframework/shop/btn_bg_r.gif HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [08/Dec/2021:10:34:37 +0900] "POST /INIT_PRO/selectSale.do HTTP/1.1" 200 1099
