2021-11-26 10:15:30,364 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:15:30,368 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2021-11-26 10:15:30,391 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:15:30,394 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 10:16:46,660 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2021-11-26 10:16:46,793 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: INIT:INIT_PRO:1.0.0 @ C:\Work\Java\eGovFrameDev-3.7.0-64bit\workspace\INIT_PRO\pom.xml.
2021-11-26 10:16:49,353 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /INIT_PRO/src/main/java
2021-11-26 10:16:49,355 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /INIT_PRO/src/main/resources
2021-11-26 10:16:49,369 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /INIT_PRO/src/test/java
2021-11-26 10:16:49,370 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /INIT_PRO/src/test/resources
2021-11-26 10:16:51,637 [main] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for INIT_PRO
2021-11-26 10:16:51,983 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2021-11-26 10:16:55,093 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
